char,codepoint,file,line,column,entry,context
𢫫,U+22AEB,20250630-安.csv,16461,例句,㓾雞𢫫鴨,例：成過人過年過節㓾雞𢫫鴨，真無閒，這下人買買个就好啊！(以前人逢年過節殺雞殺鴨，非常忙碌，現代人買一買就好了！)
𢿞,U+22FDE,113安中.csv,1379,詔安客家語,𢿞,𢿞
𢿞,U+22FDE,113安中.csv,1379,詔安例句,𢿞,阿財哥禮拜日割一𢿞豬肉去䀴厥外媽。
𢿞,U+22FDE,113安中高.csv,740,例句,半肥瘦,例「割一𢿞半肥瘦个豬肉」。
𢿞,U+22FDE,113安中高.csv,996,詔安客家語,長𢿞長𢿞,長𢿞長𢿞
𢿞,U+22FDE,113安中高.csv,996,例句,長𢿞長𢿞,例如：這間屋長𢿞長𢿞，係竹笐屋。
𢿞,U+22FDE,113安中高.csv,1324,例句,堵來堵去,例如：一𢿞豬肉定，嘛在遐堵來堵去，否䀴啦。
𣗺,U+235FA,20250630-安.csv,14107,詞目,𣗺瓦,𣗺瓦
𤻤,U+24EE4,20250630-四.csv,9499,例句,瘍癧,阿公想孫仔想到難耐，做阿爸个人閒閒，正經係才仔無恁痛，瘍𤻤較痛。 爺爺想孫子想到難耐，當爸爸的不在乎，真的是皇帝不急，急死太監。
𤻤,U+24EE4,20250630-平.csv,9458,例句,瘍癧,阿公想孫仔想到難耐，做阿爸个人閒閒，正經係㾽仔無恁疾，瘍𤻤較疾。 爺爺想孫子想到難耐，當爸爸的不在乎，真的是皇帝不急，急死太監。
𤻤,U+24EE4,20250630-海.csv,9527,相似詞,瘍癧,襯瘍𤻤　
𥉔,U+25254,20250630-安.csv,13573,詞目,𥉔,𥉔
𥏘,U+253D8,113四高.csv,733,四縣客家語,𥏘尾,𥏘尾
𥏘,U+253D8,113四高.csv,733,例句,𥏘尾,例如：這下人畜个豬仔，旦勢就係𥏘尾个。
𥏘,U+253D8,113大高.csv,727,大埔客家語,𥏘尾,𥏘尾
𥏘,U+253D8,113大高.csv,727,例句,𥏘尾,例如：這下人畜个豬，大勢都係𥏘尾个。
𥏘,U+253D8,113大高.csv,883,大埔客家語,筆擂擂（筆𥏘𥏘）,筆擂擂（筆𥏘𥏘）
𥏘,U+253D8,113平高.csv,727,饒平客家語,𥏘尾,𥏘尾
𥏘,U+253D8,113平高.csv,727,例句,𥏘尾,例如：這下人畜个豬仔，大體就係𥏘尾个。
𥏘,U+253D8,113海高.csv,728,海陸客家語,𥏘尾,𥏘尾
𥏘,U+253D8,113海高.csv,728,例句,𥏘尾,例如：這下人畜个豬仔，旦勢就係𥏘尾个。
𥚃,U+25683,20250630-南.csv,1560,例句,守孝,例：一般來講，守孝个人毋會去廟項燒香。(一般而言，守孝的人不會去廟𥚃燒香。)
𥚃,U+25683,20250630-四.csv,1611,例句,守孝,例：一般來講，守孝个人毋會去廟項燒香。(一般而言，守孝的人不會去廟𥚃燒香。)
