檔案,編號,欄位,類型,官方原始,現役
113安中高.csv,16-18,翻譯,content-diff,一把禾稈。,
113安中高.csv,16-18,備註,content-diff,,名詞
113安中高.csv,16-18,詞性1,content-diff,名詞,
113安中高.csv,16-18,詞性2,content-diff,,16數詞量詞
113安中高.csv,16-18,分類,content-diff,16數詞量詞,
113安中高.csv,16-4,詞義例句合併,split-anomaly,座（量詞），如「三座屋」。,座（量詞），如「三座屋」。 ‖ 三座房屋。
113安中高.csv,16-4,翻譯,content-diff,三座房屋。,
113安中高.csv,16-4,備註,content-diff,,數/量詞
113安中高.csv,16-4,詞性1,content-diff,數/量詞,
113安中高.csv,16-4,詞性2,content-diff,,16數詞量詞
113安中高.csv,16-4,分類,content-diff,16數詞量詞,
113安中高.csv,4-156,詞義例句合併,split-anomaly,染，如「染頭那毛」、「染紅卵」。,染，如「染頭那毛」、「染紅卵」。 ‖ 染頭髮。
113安中高.csv,4-156,翻譯,content-diff,染頭髮。染紅蛋。,染紅蛋。
113安中高.csv,4-238,詞義例句合併,split-anomaly,鉤到，例如「膨線衫得釘鉤著」。,鉤到，例如「膨線衫得釘鉤著」。 ‖ 毛衣被釘子鉤到。
113安中高.csv,4-238,翻譯,content-diff,毛衣被釘子鉤到。,
113安中高.csv,4-238,備註,content-diff,,動詞
113安中高.csv,4-238,詞性1,content-diff,動詞,
113安中高.csv,4-238,詞性2,content-diff,,4外在活動與動作
113安中高.csv,4-238,分類,content-diff,4外在活動與動作,
113安中高.csv,4-24,詞義例句合併,split-anomaly,抽動、顫抖，例如「掣一下」、「疾到直直掣」。,抽動、顫抖，例如「掣一下」、「疾到直直掣」。 ‖ 抽動一下。
113安中高.csv,4-24,翻譯,content-diff,抽動一下。痛得直發抖。,痛得直發抖。
113安中高.csv,4-25,詞義例句合併,split-anomaly,觸電，例「得電電著」。,觸電，例「得電電著」。 ‖ 被電電到。
113安中高.csv,4-25,翻譯,content-diff,被電電到。,
113安中高.csv,4-25,備註,content-diff,,動詞
113安中高.csv,4-25,詞性1,content-diff,動詞,
113安中高.csv,4-25,詞性2,content-diff,,4外在活動與動作
113安中高.csv,4-25,分類,content-diff,4外在活動與動作,
113安中高.csv,4-90,詞義例句合併,split-anomaly,拱起來，例如「背脊骿拱起來」。,拱起來，例如「背脊骿拱起來」。 ‖ 背拱起來。
113安中高.csv,4-90,翻譯,content-diff,背拱起來。,
113安中高.csv,4-90,備註,content-diff,,動詞
113安中高.csv,4-90,詞性1,content-diff,動詞,
113安中高.csv,4-90,詞性2,content-diff,,4外在活動與動作
113安中高.csv,4-90,分類,content-diff,4外在活動與動作,
113安中高.csv,6-7,詞義例句合併,split-anomaly,火燒起來了。如「屋下著火」。,火燒起來了。如「屋下著火」。 ‖ 房子失火。
113安中高.csv,6-7,翻譯,content-diff,房子失火。,
113安中高.csv,6-7,備註,content-diff,,名詞
113安中高.csv,6-7,詞性1,content-diff,名詞,
113安中高.csv,6-7,詞性2,content-diff,,6自然與景觀
113安中高.csv,6-7,分類,content-diff,6自然與景觀,
113安中高.csv,7-15,詞義例句合併,split-anomaly,一直掉下來（常用於液體）。如「口涎溚溚跌」。,一直掉下來（常用於液體）。如「口涎溚溚跌」。 ‖ 口水一直掉下來。
113安中高.csv,7-15,翻譯,content-diff,口水一直掉下來。,
113安中高.csv,7-15,備註,content-diff,,動詞
113安中高.csv,7-15,詞性1,content-diff,動詞,
113安中高.csv,7-15,詞性2,content-diff,,7事物狀態與變化
113安中高.csv,7-15,分類,content-diff,7事物狀態與變化,
113安中高.csv,8-111,詞義例句合併,split-anomaly,矮而較穩重、無靠背的凳子。有「圓凳頭」、「四腳凳頭」。,矮而較穩重、無靠背的凳子。有「圓凳頭」、「四腳凳頭」。 ‖ 圓凳子。
113安中高.csv,8-111,翻譯,content-diff,圓凳子。四腳凳子。,四腳凳子。
113安中高.csv,8-40,詞義例句合併,split-anomaly,乾煎。如「𤐙香料、𤐙香」。,乾煎。如「𤐙香料、𤐙香」。 ‖ 爆香。
113安中高.csv,8-40,翻譯,content-diff,爆香。,
113安中高.csv,8-40,備註,content-diff,,動詞
113安中高.csv,8-40,詞性1,content-diff,動詞,
113安中高.csv,8-40,詞性2,content-diff,,8居家生活
113安中高.csv,8-40,分類,content-diff,8居家生活,
113安中高.csv,9-174,詞義例句合併,split-anomaly,命不好，例如「怨命䆀」。,命不好，例如「怨命䆀」。 ‖ 抱怨命不好。
113安中高.csv,9-174,翻譯,content-diff,抱怨命不好。,
113安中高.csv,9-174,備註,content-diff,,形容詞
113安中高.csv,9-174,詞性1,content-diff,形容詞,
113安中高.csv,9-174,詞性2,content-diff,,9抽象概念與形容
113安中高.csv,9-174,分類,content-diff,9抽象概念與形容,
113安中高.csv,9-32,詞義例句合併,split-anomaly,指物品細長。如「暖罐長高長高」。,指物品細長。如「暖罐長高長高」。 ‖ 熱水壺很細長。
113安中高.csv,9-32,翻譯,content-diff,熱水壺很細長。,
113安中高.csv,9-32,備註,content-diff,,形容詞
113安中高.csv,9-32,詞性1,content-diff,形容詞,
113安中高.csv,9-32,詞性2,content-diff,,9抽象概念與形容
113安中高.csv,9-32,分類,content-diff,9抽象概念與形容,
113安中高.csv,9-35,詞義例句合併,split-anomaly,物品粗糙而不夠細緻。如「麻紗粗拚拚」。,物品粗糙而不夠細緻。如「麻紗粗拚拚」。 ‖ 麻紗粗粗的。
113安中高.csv,9-35,翻譯,content-diff,麻紗粗粗的。,
113安中高.csv,9-35,備註,content-diff,,形容詞
113安中高.csv,9-35,詞性1,content-diff,形容詞,
113安中高.csv,9-35,詞性2,content-diff,,9抽象概念與形容
113安中高.csv,9-35,分類,content-diff,9抽象概念與形容,
113安基.csv,6-5,備註,content-diff,本讀aˇ zi^口語aˇ zeˋ,本讀ǎ zî<br>口語ǎ zè
113安基.csv,6-9,備註,content-diff,本讀aˇ gungˇ，口語aˇ gong,本讀ǎ gǔng，口語ǎ gong
113安高.csv,(header),欄位,header-diff,"編號,客家語,標音,詞義例句合併,翻譯,備註,詞性1,詞性2,分類","編號,客家語,標音,詞義,例句,翻譯,備註,詞性1,詞性2,分類"
113安高.csv,10-327,詞義例句合併,split-anomaly,同一胎或同一批、同一世代。例如「共蕃子」表同一胎之幼子、「共蕃人」表同一世代之人、「共蕃豬子」表同一胎小豬。例如：共蕃豬子，有个較大，有个較細。,"同一胎或同一批、同一世代。,例如「共蕃子」表同一胎之幼子、「共蕃人」表同一世代之人、「共蕃豬子」表同一胎小豬。 ‖ 例如：共蕃豬子，有个較大，有个較細。"
113安高.csv,11-10,詞義例句合併,split-anomaly,交界。例如「兩合界」即指兩邊交界處。例如：阿賢伯蹛在大湖和獅潭合界个所在。,"交界。,例如「兩合界」即指兩邊交界處。 ‖ 例如：阿賢伯蹛在大湖和獅潭合界个所在。"
113安高.csv,16-32,詞義例句合併,split-anomaly,種子播入土中的動作。例如「添菜籽」，「添油菜籽」即撒播油菜花的種子。例如：種菜頭，大討用添籽較多，無䀴著有人用種秧。,"種子播入土中的動作。,例如「添菜籽」，「添油菜籽」即撒播油菜花的種子。 ‖ 例如：種菜頭，大討用添籽較多，無䀴著有人用種秧。"
113安高.csv,3-12,詞義例句合併,split-anomaly,靠近熱源。例「煏熱」。例如：買轉來个細尾魚，愛用細火煏得佢燥赤來，正會香酥好食。,"靠近熱源。,例「煏熱」。 ‖ 例如：買轉來个細尾魚，愛用細火煏得佢燥赤來，正會香酥好食。"
113安高.csv,3-135,詞義例句合併,split-anomaly,用手緊抓或扭住。例如「揪頭那毛」。例如：又寒又大風，愛拁襖揪核兜。例如：佢拁賊揪核核，毋得佢走去。,"用手緊抓或扭住。,例如「揪頭那毛」。 ‖ 例如：又寒又大風，愛拁襖揪核兜。<br>例如：佢拁賊揪核核，毋得佢走去。"
113安高.csv,3-182,詞義例句合併,split-anomaly,小物削大物時，刀不離物，先用刀在周圍畫一圈，越切越深，然後用力斷之，可用於竹子、甘蔗等。例「刓斷」即切斷。例如：遐支竹真硬，愛先用刀刓過一圈，正刓會斷。,"小物削大物時，刀不離物，先用刀在周圍畫一圈，越切越深，然後用力斷之，可用於竹子、甘蔗等。,例「刓斷」即切斷。 ‖ 例如：遐支竹真硬，愛先用刀刓過一圈，正刓會斷。"
113安高.csv,3-227,標音,tone-anomaly,da^ shongˇ sen ˇ,dâ shǒng sen ˇ
113安高.csv,3-260,詞義例句合併,split-anomaly,醉得摸著走路的樣子。,醉得摸著走路的樣子。 ‖ 譯2：做事情如果遇到困難，要懂得反向思考。
113安高.csv,3-260,翻譯,content-diff,譯2：做事情如果遇到困難，要懂得反向思考。,
113安高.csv,3-260,備註,content-diff,,形容詞
113安高.csv,3-260,詞性1,content-diff,形容詞,
113安高.csv,3-260,詞性2,content-diff,,3外在活動與動作
113安高.csv,3-260,分類,content-diff,3外在活動與動作,
113安高.csv,3-47,詞義例句合併,split-anomaly,將物體上下抖動。例如「搐麵」、「搐籤筒」、「搐衫褲」。例如：衫褲面上有頭那毛，提來搐搐个！,"將物體上下抖動。,例如「搐麵」、「搐籤筒」、「搐衫褲」。 ‖ 例如：衫褲面上有頭那毛，提來搐搐个！"
113安高.csv,8-152,標音,tone-anomaly,heebˋ heeb ˋ,hèeb heeb ˋ
113安高.csv,8-213,標音,tone-anomaly,kidˋ kid ˋ,kìd kid ˋ
113安高.csv,8-322,詞性1,content-diff,,形容詞
113安高.csv,8-322,分類,content-diff,,9抽象概念與形容
113平中高.csv,(header),欄位,header-diff,"編號,客家語,標音,詞義例句合併,翻譯,備註,詞性1,詞性2,分類","編號,客家語,標音,詞義,例句,翻譯,備註,詞性1,詞性2,分類"
113平中高.csv,1-102,詞義例句合併,split-anomaly,髮辮子。如「拼毛辮仔（毛辮／毛辮仔）」。,髮辮子。如「拼毛辮仔（毛辮／毛辮仔）」。 ‖ 綁辮子。
113平中高.csv,1-102,翻譯,content-diff,綁辮子。,
113平中高.csv,1-102,備註,content-diff,,名詞
113平中高.csv,1-102,詞性1,content-diff,名詞,
113平中高.csv,1-102,詞性2,content-diff,,1人體與醫療
113平中高.csv,1-102,分類,content-diff,1人體與醫療,
113平中高.csv,1-83,詞義例句合併,split-anomaly,被毒蟲爬過而灼傷皮膚，例如：「分蟲仔蜒著」。,被毒蟲爬過而灼傷皮膚，例如：「分蟲仔蜒著」。 ‖ 被蟲爬過而灼傷皮膚
113平中高.csv,1-83,翻譯,content-diff,被蟲爬過而灼傷皮膚,
113平中高.csv,1-83,備註,content-diff,,動詞
113平中高.csv,1-83,詞性1,content-diff,動詞,
113平中高.csv,1-83,詞性2,content-diff,,1人體與醫療
113平中高.csv,1-83,分類,content-diff,1人體與醫療,
113平中高.csv,11-125,詞義例句合併,split-anomaly,是說分不到一杯羹，叫一叫，過過乾癮也甘心。或比喻多管閒事，例如「人食大麵你喊燒」。,是說分不到一杯羹，叫一叫，過過乾癮也甘心。或比喻多管閒事，例如「人食大麵你喊燒」。 ‖ 別人吃麵你在喊燙。
113平中高.csv,11-125,翻譯,content-diff,別人吃麵你在喊燙。,
113平中高.csv,11-125,備註,content-diff,,動詞
113平中高.csv,11-125,詞性1,content-diff,動詞,
113平中高.csv,11-125,詞性2,content-diff,,11社會關係與行為
113平中高.csv,11-125,分類,content-diff,11社會關係與行為,
113平中高.csv,11-249,詞義例句合併,split-anomaly,意猶未盡。如「食到會尋尾」。,意猶未盡。如「食到會尋尾」。 ‖ 吃了想再吃。
113平中高.csv,11-249,翻譯,content-diff,吃了想再吃。,
113平中高.csv,11-249,備註,content-diff,,動詞
113平中高.csv,11-249,詞性1,content-diff,動詞,
113平中高.csv,11-249,詞性2,content-diff,,11社會關係與行為
113平中高.csv,11-249,分類,content-diff,11社會關係與行為,
113平中高.csv,16-10,詞義例句合併,split-anomaly,計算物品的一種單位。如「紙炮買兩頓轉」。,計算物品的一種單位。如「紙炮買兩頓轉」。 ‖ 鞭炮買兩串回來。
113平中高.csv,16-10,翻譯,content-diff,鞭炮買兩串回來。,
113平中高.csv,16-10,備註,content-diff,,數/量詞
113平中高.csv,16-10,詞性1,content-diff,數/量詞,
113平中高.csv,16-10,詞性2,content-diff,,16數詞量詞
113平中高.csv,16-10,分類,content-diff,16數詞量詞,
113平中高.csv,16-4,詞義例句合併,split-anomaly,座（量詞），如「三座屋」。,座（量詞），如「三座屋」。 ‖ 三座房屋。
113平中高.csv,16-4,翻譯,content-diff,三座房屋。,
113平中高.csv,16-4,備註,content-diff,,數/量詞
113平中高.csv,16-4,詞性1,content-diff,數/量詞,
113平中高.csv,16-4,詞性2,content-diff,,16數詞量詞
113平中高.csv,16-4,分類,content-diff,16數詞量詞,
113平中高.csv,4-156,詞義例句合併,split-anomaly,染，如「染頭那毛」、「染紅卵」。,染，如「染頭那毛」、「染紅卵」。 ‖ 染頭髮。
113平中高.csv,4-156,翻譯,content-diff,染頭髮。染紅蛋。,染紅蛋。
113平中高.csv,4-192,詞義例句合併,split-anomaly,跳躍，例如「躍上躍下」、「躍往上」。,跳躍，例如「躍上躍下」、「躍往上」。 ‖ 跳上跳下。
113平中高.csv,4-192,翻譯,content-diff,跳上跳下。往上跳。,往上跳。
113平中高.csv,4-238,詞義例句合併,split-anomaly,鉤到，例如「膨線衫分釘仔挽著」。,鉤到，例如「膨線衫分釘仔挽著」。 ‖ 毛衣被釘子鉤到。
113平中高.csv,4-238,翻譯,content-diff,毛衣被釘子鉤到。,
113平中高.csv,4-238,備註,content-diff,,動詞
113平中高.csv,4-238,詞性1,content-diff,動詞,
113平中高.csv,4-238,詞性2,content-diff,,4外在活動與動作
113平中高.csv,4-238,分類,content-diff,4外在活動與動作,
113平中高.csv,4-24,詞義例句合併,split-anomaly,抽動、顫抖，例如「掣一下」、「疾到緊掣」。,抽動、顫抖，例如「掣一下」、「疾到緊掣」。 ‖ 抽動一下。
113平中高.csv,4-24,翻譯,content-diff,抽動一下。痛得直發抖。,痛得直發抖。
113平中高.csv,4-25,詞義例句合併,split-anomaly,觸電，例「分電掣著」。,觸電，例「分電掣著」。 ‖ 被電電到。
113平中高.csv,4-25,翻譯,content-diff,被電電到。,
113平中高.csv,4-25,備註,content-diff,,動詞
113平中高.csv,4-25,詞性1,content-diff,動詞,
113平中高.csv,4-25,詞性2,content-diff,,4外在活動與動作
113平中高.csv,4-25,分類,content-diff,4外在活動與動作,
113平中高.csv,4-90,詞義例句合併,split-anomaly,拱起來，例如「背囊拱起來」。,拱起來，例如「背囊拱起來」。 ‖ 背拱起來。
113平中高.csv,4-90,翻譯,content-diff,背拱起來。,
113平中高.csv,4-90,備註,content-diff,,動詞
113平中高.csv,4-90,詞性1,content-diff,動詞,
113平中高.csv,4-90,詞性2,content-diff,,4外在活動與動作
113平中高.csv,4-90,分類,content-diff,4外在活動與動作,
113平中高.csv,6-7,詞義例句合併,split-anomaly,火燒起來了。如「屋著火」。,火燒起來了。如「屋著火」。 ‖ 房子失火。
113平中高.csv,6-7,翻譯,content-diff,房子失火。,
113平中高.csv,6-7,備註,content-diff,,動詞
113平中高.csv,6-7,詞性1,content-diff,動詞,
113平中高.csv,6-7,詞性2,content-diff,,6自然與景觀
113平中高.csv,6-7,分類,content-diff,6自然與景觀,
113平中高.csv,7-15,詞義例句合併,split-anomaly,一直掉下來（常用於液體）。如「口涎溚溚跌」。,一直掉下來（常用於液體）。如「口涎溚溚跌」。 ‖ 口水一直掉下來。
113平中高.csv,7-15,翻譯,content-diff,口水一直掉下來。,
113平中高.csv,7-15,備註,content-diff,,動詞
113平中高.csv,7-15,詞性1,content-diff,動詞,
113平中高.csv,7-15,詞性2,content-diff,,7事物狀態與變化
113平中高.csv,7-15,分類,content-diff,7事物狀態與變化,
113平中高.csv,8-111,詞義例句合併,split-anomaly,矮而較穩重、無靠背的凳子。有「圓凳頭」、「四腳凳頭」。,矮而較穩重、無靠背的凳子。有「圓凳頭」、「四腳凳頭」。 ‖ 圓凳子。
113平中高.csv,8-111,翻譯,content-diff,圓凳子。四腳凳子。,四腳凳子。
113平中高.csv,8-40,詞義例句合併,split-anomaly,乾煎。如「𤐙香料、𤐙香」。,乾煎。如「𤐙香料、𤐙香」。 ‖ 爆香。
113平中高.csv,8-40,翻譯,content-diff,爆香。,
113平中高.csv,8-40,備註,content-diff,,動詞
113平中高.csv,8-40,詞性1,content-diff,動詞,
113平中高.csv,8-40,詞性2,content-diff,,8居家生活
113平中高.csv,8-40,分類,content-diff,8居家生活,
113平中高.csv,8-9,標音,pinyin-letters,pienˋ lid funˋ【pen^ lid fun^/tai pag fun^】,
113平中高.csv,8-9,詞義例句合併,split-anomaly,太白粉。例如：片栗粉（片栗粉／太白粉）做毋得直接加燒水摝勻，抑係放入煮熟个食物中，佢會隨時結成一矻一矻煮毋散。,pièn lid fùn【pên lid fûn/tai pag fûn】 ‖ 太白粉。<br>例如：片栗粉（片栗粉／太白粉）做毋得直接加燒水摝勻，抑係放入煮熟个食物中，佢會隨時結成一矻一矻煮毋散。
113平中高.csv,9-174,詞義例句合併,split-anomaly,命不好，例如「怨命歪」。,命不好，例如「怨命歪」。 ‖ 抱怨命不好。
113平中高.csv,9-174,翻譯,content-diff,抱怨命不好。,
113平中高.csv,9-174,備註,content-diff,,形容詞
113平中高.csv,9-174,詞性1,content-diff,形容詞,
113平中高.csv,9-174,詞性2,content-diff,,9抽象概念與形容
113平中高.csv,9-174,分類,content-diff,9抽象概念與形容,
113平中高.csv,9-259,詞義例句合併,split-anomaly,個體大的樣子；勢利、不理人的樣子。如「佢个字寫到大嫲嫲仔」、「細人仔（細子／細人仔）畜到大嫲嫲仔」、「樣相䀴（看／䀴）起來大嫲嫲仔」。,個體大的樣子；勢利、不理人的樣子。如「佢个字寫到大嫲嫲仔」、「細人仔（細子／細人仔）畜到大嫲嫲仔」、「樣相䀴（看／䀴）起來大嫲嫲仔」。 ‖ 他的字寫得很大。
113平中高.csv,9-259,翻譯,content-diff,他的字寫得很大。小孩子養得身形很大。模樣看起來勢利的樣子。,小孩子養得身形很大。<br>模樣看起來勢利的樣子。
113平中高.csv,9-32,詞義例句合併,split-anomaly,指物品細長。如「暖罐長胲長胲」。,指物品細長。如「暖罐長胲長胲」。 ‖ 熱水壺很細長。
113平中高.csv,9-32,翻譯,content-diff,熱水壺很細長。,
113平中高.csv,9-32,備註,content-diff,,形容詞
113平中高.csv,9-32,詞性1,content-diff,形容詞,
113平中高.csv,9-32,詞性2,content-diff,,9抽象概念與形容
113平中高.csv,9-32,分類,content-diff,9抽象概念與形容,
113平中高.csv,9-35,詞義例句合併,split-anomaly,物品粗糙而不夠細緻。如「麻紗粗刊刊仔（粗刊刊）」。,物品粗糙而不夠細緻。如「麻紗粗刊刊仔（粗刊刊）」。 ‖ 麻紗粗粗的。
113平中高.csv,9-35,翻譯,content-diff,麻紗粗粗的。,
113平中高.csv,9-35,備註,content-diff,,形容詞
113平中高.csv,9-35,詞性1,content-diff,形容詞,
113平中高.csv,9-35,詞性2,content-diff,,9抽象概念與形容
113平中高.csv,9-35,分類,content-diff,9抽象概念與形容,
113平基.csv,17-12,標音,tone-anomaly,m heˊ【mˋ he】,m hé【mˋ he】
113平基.csv,5-41,標音,tone-anomaly,m voiˊ【mˋ voi】,m vói【mˋ voi】
113平高.csv,(header),欄位,header-diff,"編號,客家語,饒平客語音標,詞義例句合併,翻譯,備註,詞性1,詞性2,分類","編號,客家語,標音,詞義,例句,翻譯,備註,詞性1,詞性2,分類"
113平高.csv,10-327,詞義例句合併,split-anomaly,同一胎或同一批、同一世代。例如「共綱子」表同一胎之幼子、「共綱人」表同一世代之人、「共綱豬子」表同一胎小豬。例如：共綱豬子，有兜較大，有兜較細。,"同一胎或同一批、同一世代。,例如「共綱子」表同一胎之幼子、「共綱人」表同一世代之人、「共綱豬子」表同一胎小豬。 ‖ 例如：共綱豬子，有兜較大，有兜較細。"
113平高.csv,11-10,詞義例句合併,split-anomaly,交界。例如「兩合界」即指兩邊交界處。例如：阿賢伯戴在大湖摎獅潭合界个位所。,"交界。,例如「兩合界」即指兩邊交界處。 ‖ 例如：阿賢伯戴在大湖摎獅潭合界个位所。"
113平高.csv,15-3,詞義例句合併,split-anomaly,「gong」指面、排（房子），例如「兩槓屋」；「gongˋ」為限定性字目，例如「兩槓𣛮」。,「gong」指面、排（房子），例如「兩槓屋」；「gòng」為限定性字目，例如「兩槓𣛮」。 ‖ 
113平高.csv,16-32,詞義例句合併,split-anomaly,種子播入土中的動作。例如「點菜仁」，「點菜花籽」即撒播油菜花的種子。例如：種菜頭，大體用點仁較多，無䀴著有人用種秧。,"種子播入土中的動作。,例如「點菜仁」，「點菜花籽」即撒播油菜花的種子。 ‖ 例如：種菜頭，大體用點仁較多，無䀴著有人用種秧。"
113平高.csv,17-14,詞義例句合併,split-anomaly,知識學問，屬於比較內顯性的才能。,知識學問，屬於比較內顯性的才能。 ‖ 知識學問，屬於比較內顯性的才能。
113平高.csv,17-14,翻譯,content-diff,知識學問，屬於比較內顯性的才能。,
113平高.csv,17-14,備註,content-diff,,名詞
113平高.csv,17-14,詞性1,content-diff,名詞,
113平高.csv,17-14,詞性2,content-diff,,17藝文與教育
113平高.csv,17-14,分類,content-diff,17藝文與教育,
113平高.csv,3-12,詞義例句合併,split-anomaly,靠近熱源。例「煏燥來」。例如：買轉來个細尾魚仔，愛用細火煏分佢燥赤來，正會香酥好食。,"靠近熱源。,例「煏燥來」。 ‖ 例如：買轉來个細尾魚仔，愛用細火煏分佢燥赤來，正會香酥好食。"
113平高.csv,3-135,詞義例句合併,split-anomaly,用手緊抓或扭住。例如「揪頭那毛」、「揪等胸裌」。例如：又寒又大風，愛摎襖揪核兜仔。例如：佢摎賊仔揪核核，毋分佢走忒。,"用手緊抓或扭住。,例如「揪頭那毛」、「揪等胸裌」。 ‖ 例如：又寒又大風，愛摎襖揪核兜仔。<br>例如：佢摎賊仔揪核核，毋分佢走忒。"
113平高.csv,3-182,詞義例句合併,split-anomaly,小物削大物時，刀不離物，先用刀在周圍畫一圈，越切越深，然後用力斷之，可用於竹子、甘蔗等。例「刓斷」即切斷。例如：該支竹仔盡硬程，愛先用刀仔刓過一圈，正刓得斷。,"小物削大物時，刀不離物，先用刀在周圍畫一圈，越切越深，然後用力斷之，可用於竹子、甘蔗等。,例「刓斷」即切斷。 ‖ 例如：該支竹仔盡硬程，愛先用刀仔刓過一圈，正刓得斷。"
113平高.csv,3-47,詞義例句合併,split-anomaly,將物體上下抖動。例如「搐麵」、「搐籤筒」、「搐衫褲」。例如：衫褲項有頭那毛，拿來搐搐啊！,"將物體上下抖動。,例如「搐麵」、「搐籤筒」、「搐衫褲」。 ‖ 例如：衫褲項有頭那毛，拿來搐搐啊！"
113平高.csv,5-82,詞義例句合併,split-anomaly,節氣反常，也可用於價值觀等反常狀態。例如：天年倒貶，朳仔打牛眼。（諺）,節氣反常，也可用於價值觀等反常狀態。 ‖ 例如：天年倒貶，朳仔打牛眼。（諺）天道反常，芭樂長龍眼。
113平高.csv,5-82,翻譯,content-diff,天道反常，芭樂長龍眼。,
113平高.csv,5-82,備註,content-diff,,短語
113平高.csv,5-82,詞性1,content-diff,短語,
113平高.csv,5-82,詞性2,content-diff,,5自然與景觀
113平高.csv,5-82,分類,content-diff,5自然與景觀,
113海中.csv,18-31,備註,content-diff,「假」亦可讀為「gaˇ」,「假」亦可讀為「gǎ」
113海中.csv,18-60,備註,content-diff,「假」亦可讀為「gaˇ」,「假」亦可讀為「gǎ」
113海中高.csv,(header),欄位,header-diff,"編號,客家語,標音,詞義例句合併,翻譯,備註,詞性1,詞性2,分類","編號,客家語,標音,詞義,例句,翻譯,備註,詞性1,詞性2,分類"
113海中高.csv,1-83,詞義例句合併,split-anomaly,被毒蟲爬過而灼傷皮膚，如「分蟲仔蜒著」。,被毒蟲爬過而灼傷皮膚 ‖ 如「分蟲仔蜒著」。
113海中高.csv,11-125,詞義例句合併,split-anomaly,是說分不到一杯羹，叫一叫，過過乾癮也甘心。或比喻多管閒事，例如「人食大麵你喊燒」。,是說分不到一杯羹，叫一叫，過過乾癮也甘心。或比喻多管閒事，例如「人食大麵你喊燒」。 ‖ 別人吃麵你在喊燙。
113海中高.csv,11-125,翻譯,content-diff,別人吃麵你在喊燙。,
113海中高.csv,11-125,備註,content-diff,,動詞
113海中高.csv,11-125,詞性1,content-diff,動詞,
113海中高.csv,11-125,詞性2,content-diff,,11社會關係與行為
113海中高.csv,11-125,分類,content-diff,11社會關係與行為,
113海中高.csv,11-203,標音,tone-anomaly,mienˇ bangˋ m ha ˋ loi,miěn bàng m ha ˋ loi
113海中高.csv,11-255,詞義例句合併,split-anomaly,使用東西很節儉的樣子。如「省省仔食」、「省省仔用」。例如：糖仔恁多仔定定，你斯愛省省仔食。,"使用東西很節儉的樣子。 ‖ 如「省省仔食」、「省省仔用」。<br>例如：糖仔恁多仔定定，你斯愛省省仔食。"""
113海中高.csv,16-4,詞義例句合併,split-anomaly,座（量詞），如「三座屋」。,座（量詞） ‖ 如「三座屋」。
113海中高.csv,4-156,詞義例句合併,split-anomaly,染，如「染頭那毛」、「染紅卵」。,染 ‖ 如「染頭那毛」、「染紅卵」。
113海中高.csv,4-192,詞義例句合併,split-anomaly,跳躍，例如「躍上躍下」、「躍往上」。,跳躍，例如「躍上躍下」、「躍往上」。 ‖ 跳上跳下。<br>往上跳。
113海中高.csv,4-192,翻譯,content-diff,跳上跳下。往上跳。,
113海中高.csv,4-192,備註,content-diff,,動詞
113海中高.csv,4-192,詞性1,content-diff,動詞,
113海中高.csv,4-192,詞性2,content-diff,,4外在活動與動作
113海中高.csv,4-192,分類,content-diff,4外在活動與動作,
113海中高.csv,4-238,詞義例句合併,split-anomaly,鉤到，例如「膨紗衫分釘仔挽著」。,鉤到，例如「膨紗衫分釘仔挽著」。 ‖ 毛衣被釘子鉤到。
113海中高.csv,4-238,翻譯,content-diff,毛衣被釘子鉤到。,
113海中高.csv,4-238,備註,content-diff,,動詞
113海中高.csv,4-238,詞性1,content-diff,動詞,
113海中高.csv,4-238,詞性2,content-diff,,4外在活動與動作
113海中高.csv,4-238,分類,content-diff,4外在活動與動作,
113海中高.csv,4-24,詞義例句合併,split-anomaly,抽動、顫抖，例如「掣一下」、「痛到緊掣」。,抽動、顫抖，例如「掣一下」、「痛到緊掣」。 ‖ 抽動一下。<br>痛得直發抖。
113海中高.csv,4-24,翻譯,content-diff,抽動一下。痛得直發抖。,
113海中高.csv,4-24,備註,content-diff,,動詞
113海中高.csv,4-24,詞性1,content-diff,動詞,
113海中高.csv,4-24,詞性2,content-diff,,4外在活動與動作
113海中高.csv,4-24,分類,content-diff,4外在活動與動作,
113海中高.csv,4-25,詞義例句合併,split-anomaly,觸電，例「分電掣著」。,觸電，例「分電掣著」。 ‖ 被電電到。
113海中高.csv,4-25,翻譯,content-diff,被電電到。,
113海中高.csv,4-25,備註,content-diff,,動詞
113海中高.csv,4-25,詞性1,content-diff,動詞,
113海中高.csv,4-25,詞性2,content-diff,,4外在活動與動作
113海中高.csv,4-25,分類,content-diff,4外在活動與動作,
113海中高.csv,4-265,標音,tone-anomaly,zhoiˇ ciu+ habˋ m ciu ˋ,zhǒi ciū hàb m ciu ˋ
113海中高.csv,4-90,詞義例句合併,split-anomaly,拱起來，例如「背囊拱起來」。,拱起來，例如「背囊拱起來」。 ‖ 背拱起來。
113海中高.csv,4-90,翻譯,content-diff,背拱起來。,
113海中高.csv,4-90,備註,content-diff,,動詞
113海中高.csv,4-90,詞性1,content-diff,動詞,
113海中高.csv,4-90,詞性2,content-diff,,4外在活動與動作
113海中高.csv,4-90,分類,content-diff,4外在活動與動作,
